FECHA,ES01 Paseo de la Castellana,ES02 Calle Princesa,ES03 Calle Doctor Esquerdo,ES04 Paseo de San Franciso de Sales,ES05 Paseo de Santa María de la Cabeza,ES06 Calle Arturo Soria,ES07 Avenida de Portugal,ES08 Calle Gran Vía,ES09 Calle Atocha,ES10 Avenida de Oporto,ES11 Avenida del Manzanares (M-30),ES12 Calle José Abascal,ES13 Calle Génova,ES14 Calle José Ortega y Gasset,ES15 Avenida Reina Victoria,ES16 Calle Alberto Aguilera,ES17 Calle Cea Bermúdez,ES18 Avenida Menéndez Pelayo,ES19 Calle Bravo Murillo,ES20 Avenida del Manzanares (M-30),ES21 Calle Príncipe de Vergara,ES22 Calle Ronda de Valencia,ES23 Paseo de El Prado,ES24 Calle de Gran Vía de San Francisco,ES25 Calle Hortaleza,ES26 Calle San Bernardo,ES27 Calle Alcalá,ES28 Calle Méndez Álvaro,ES29 Paseo Infanta Isabel,ES30 Calle Embajadores,ES31 Francos Rodríguez,ES32 Calle Toledo,ES33 Calle Sinesio Delgado,ES34 Calle Mayor,ES36 Paseo de la Castellana,ES37 Calle Costa Rica,ES38 Avenida Cardenal Herrera Oria,ES39 Avenida de la Ilustración (M-30),ES40 Calle Raimundo Fernández Villaverde,ES41 Calle Bravo Murillo,ES42 Avenida General Perón,ES43 Paseo de Extremadura,ES44 Calle Serrano,ES45 Calle Velázquez,ES46 Avenida de la Albufera,ES47 Calle Alcalá,ES48 Calle Hermanos García Noblejas,ES49 Avenida de Valladolid,ES50 Calle López de Hoyos,ES51 Avenida Alfonso XIII,ES52 Avenida Brasilia,ES53 Calle de Marcelo Usera,ES54 Avenida Rafaela Ybarra,ES55 Calle Alcocer,ES56 Avenida Arcentales,ES57 Calle Silvano,ES58 Avenida de Logroño,ES59 Calle San Cipriano,ES60 Calle Camino de Vinateros
2018-01-01,1371.625,1005.25,1240.5833333333333,744.5833333333334,1898.3333333333333,522.875,2756.7916666666665,882.0833333333334,483.75,351.0,3727.4583333333335,1091.7083333333333,1370.125,173.66666666666666,465.375,1140.4166666666667,1234.0416666666667,544.2916666666666,391.6666666666667,9508.041666666666,769.1666666666666,1142.7916666666667,172.70833333333334,1132.125,81.54166666666667,346.4166666666667,1293.7083333333333,711.2916666666666,2161.7916666666665,539.5,260.2083333333333,651.8333333333334,844.125,191.25,1416.0,1171.5833333333333,407.8333333333333,1547.4166666666667,1584.2916666666667,812.7083333333334,643.8333333333334,803.5,762.5416666666666,828.625,883.75,915.5416666666666,729.3333333333334,511.3333333333333,372.875,350.4583333333333,419.7083333333333,478.5416666666667,345.625,206.91666666666666,252.29166666666666,555.9583333333334,287.7083333333333,193.875,568.2083333333334
2018-01-02,2222.6666666666665,1522.8333333333333,2076.0416666666665,1156.6666666666667,2817.8333333333335,977.8333333333334,3763.0,1463.6666666666667,747.7083333333334,399.2916666666667,5110.916666666667,1329.375,2091.7083333333335,417.75,1061.5416666666667,1946.7083333333333,1664.9166666666667,1039.9166666666667,628.125,12537.708333333334,1678.0,1632.4583333333333,3604.5833333333335,1321.9166666666667,152.45833333333334,487.375,2070.7916666666665,1241.0416666666667,2930.25,905.9583333333334,498.375,931.7083333333334,1321.1666666666667,330.4166666666667,2500.6666666666665,2127.75,693.75,2397.0833333333335,2533.5833333333335,1220.0833333333333,1295.875,957.9583333333334,1380.75,1455.8333333333333,1198.2916666666667,1187.3333333333333,1422.125,824.2083333333334,605.0833333333334,889.125,722.4166666666666,522.9583333333334,423.0833333333333,311.4583333333333,591.4166666666666,913.0833333333334,501.5833333333333,273.25,926.375
2018-01-03,2441.9583333333335,1501.9166666666667,2227.4166666666665,1186.1666666666667,2982.5416666666665,994.5,3813.5416666666665,1602.5416666666667,801.125,409.7916666666667,5140.875,1391.5833333333333,2146.2083333333335,450.2083333333333,1015.0416666666666,1982.75,1733.7083333333333,1121.5833333333333,675.3333333333334,13285.791666666666,1756.7083333333333,1688.0,3866.8333333333335,1230.2083333333333,170.83333333333334,501.375,2089.5416666666665,1296.6666666666667,2946.0,950.875,477.9166666666667,967.875,1338.7916666666667,358.6666666666667,2500.0416666666665,2272.2083333333335,704.9166666666666,2451.2083333333335,2661.5416666666665,1247.2083333333333,1389.375,1009.875,1406.9166666666667,1532.6666666666667,1237.8333333333333,1229.25,1490.5416666666667,844.0416666666666,634.5416666666666,855.9166666666666,731.875,542.75,430.7083333333333,326.6666666666667,618.0833333333334,962.5416666666666,516.25,268.7083333333333,966.3333333333334
2018-01-04,2404.0833333333335,1522.4166666666667,2274.2083333333335,1232.2083333333333,3065.375,1051.375,4036.2916666666665,1660.7916666666667,797.6666666666666,427.75,5244.625,1417.5833333333333,2317.5416666666665,458.1666666666667,941.75,2077.0,1768.0833333333333,1148.1666666666667,682.7083333333334,13474.916666666666,1734.1666666666667,1742.2916666666667,3910.0833333333335,1340.875,167.08333333333334,515.7083333333334,2001.4166666666667,1282.4583333333333,3031.75,959.0,465.625,1002.0416666666666,1409.6666666666667,363.125,2689.75,2322.25,734.0416666666666,2439.5,2728.7916666666665,1315.5,1480.5,1041.8333333333333,1470.5,1571.2083333333333,1250.9166666666667,1249.4166666666667,1430.6666666666667,824.9583333333334,650.4583333333334,842.5,735.875,552.8333333333334,446.875,340.625,623.625,966.5416666666666,497.9166666666667,286.2083333333333,997.7916666666666
2018-01-05,2241.6666666666665,1557.4583333333333,2199.375,1198.0833333333333,2966.6666666666665,1018.4166666666666,3588.5,1673.375,768.8333333333334,446.7916666666667,4792.333333333333,1439.7083333333333,2315.5,458.375,847.75,1941.2916666666667,1715.7083333333333,1116.25,821.7916666666666,12526.375,1659.0833333333333,1649.7083333333333,3381.1666666666665,1216.375,157.375,524.25,1897.2916666666667,1169.9166666666667,2801.5,918.0833333333334,405.8333333333333,916.125,1276.25,359.2916666666667,2342.25,2163.4166666666665,638.25,2232.0833333333335,2677.5833333333335,1391.2916666666667,1479.3333333333333,1022.7916666666666,1429.9583333333333,1503.9583333333333,1265.3333333333333,1252.1666666666667,1462.2916666666667,752.25,584.625,652.875,633.4583333333334,575.5833333333334,439.375,349.0833333333333,559.0416666666666,891.6666666666666,470.875,295.75,961.0
2018-01-06,1411.5,1050.375,1460.5833333333333,857.0833333333334,2079.875,611.0,2944.0416666666665,1080.8333333333333,613.375,386.9583333333333,3847.5833333333335,1199.5416666666667,1718.2083333333333,267.4166666666667,559.5833333333334,1368.5416666666667,1336.9166666666667,622.7083333333334,501.5416666666667,9972.791666666666,937.4166666666666,1245.7083333333333,376.5,1193.625,118.625,415.0416666666667,1292.125,780.9583333333334,2168.4166666666665,709.2083333333334,297.0833333333333,737.8333333333334,873.4583333333334,263.7083333333333,1496.0,1335.375,450.5416666666667,1640.25,1835.6666666666667,948.4583333333334,770.0833333333334,834.9583333333334,867.0,846.625,996.375,1003.2083333333334,895.4166666666666,585.9583333333334,421.7083333333333,431.6666666666667,337.125,492.5,388.0,223.70833333333334,281.0416666666667,609.0,299.0416666666667,225.70833333333334,660.875
2018-01-07,1257.5833333333333,1102.875,1399.6666666666667,730.2916666666666,2090.0416666666665,536.875,2540.625,1113.25,642.4166666666666,315.75,3088.375,1085.4583333333333,1543.5416666666667,247.79166666666666,510.2083333333333,1298.125,1202.6666666666667,597.1666666666666,465.3333333333333,9138.916666666666,865.1666666666666,1222.2083333333333,336.7916666666667,1129.25,112.45833333333333,431.625,1446.4583333333333,763.2083333333334,2416.4583333333335,587.75,251.33333333333334,666.25,707.2083333333334,281.9583333333333,1533.625,1205.625,357.5833333333333,1441.9166666666667,1691.2083333333333,876.2916666666666,875.0,742.3333333333334,1274.125,1051.5416666666667,795.7916666666666,875.1666666666666,705.375,507.75,370.625,346.625,233.16666666666666,455.4583333333333,315.4166666666667,186.75,179.91666666666666,595.9166666666666,295.9166666666667,179.875,573.4583333333334
2018-01-08,2311.3333333333335,1493.6666666666667,2384.0833333333335,1297.3333333333333,2987.5,1137.25,3911.0416666666665,1518.0416666666667,831.3333333333334,424.0833333333333,5427.666666666667,1304.6666666666667,2168.7083333333335,472.3333333333333,1068.9166666666667,1914.375,1855.0416666666667,1147.5833333333333,716.7083333333334,12859.166666666666,1777.125,1602.0416666666667,3414.0,1263.0833333333333,167.58333333333334,506.5,1802.2916666666667,1324.9583333333333,3010.5,946.0,480.375,929.0,1426.2083333333333,332.625,2625.2916666666665,2393.2083333333335,806.875,2587.3333333333335,2836.4166666666665,1371.5833333333333,1439.3333333333333,1032.7916666666667,1472.4583333333333,1504.375,1184.625,1203.9166666666667,1658.875,832.375,633.0416666666666,810.25,723.6666666666666,535.7083333333334,454.4583333333333,369.2083333333333,703.125,953.3333333333334,525.5833333333334,280.8333333333333,991.125
2018-01-09,2432.2916666666665,1502.9166666666667,2426.0833333333335,1350.5416666666667,3053.75,1187.125,3947.2916666666665,1572.4166666666667,849.2083333333334,420.125,5450.916666666667,1319.5,2230.7916666666665,504.7083333333333,1143.0833333333333,1958.5416666666667,1863.8333333333333,1208.375,701.4166666666666,13206.833333333334,1875.1666666666667,1610.5416666666667,3474.75,1228.2083333333333,174.41666666666666,521.4166666666666,1883.0833333333333,1355.75,3021.0416666666665,964.7083333333334,496.125,956.75,1424.5,348.9166666666667,2758.1666666666665,2497.25,819.375,2635.875,3022.625,1392.2916666666667,1477.0,1075.375,1519.6666666666667,1561.8333333333333,1198.2916666666667,1243.7083333333333,1734.4166666666667,853.5,658.5416666666666,884.2083333333334,752.6666666666666,533.3333333333334,454.875,351.4166666666667,715.6666666666666,961.2083333333334,548.0416666666666,285.1666666666667,981.0
2018-01-10,2539.8333333333335,1536.9166666666667,2473.0,1378.0,3122.125,1197.4583333333333,4294.708333333333,1562.2083333333333,868.0416666666666,436.125,5541.916666666667,1329.0833333333333,2273.9166666666665,482.5,1160.375,2003.8333333333333,1907.2916666666667,1203.1666666666667,732.2083333333334,13376.458333333334,1957.75,1661.0416666666667,3581.75,1285.0,168.875,528.5,1951.8333333333333,1366.75,3080.0,973.0,487.75,958.75,1439.2083333333333,359.625,2872.25,2616.5833333333335,812.75,2713.4583333333335,3108.9166666666665,1412.125,1515.6666666666667,1045.9166666666667,1526.75,1606.9583333333333,1229.5,1265.5833333333333,1710.1666666666667,873.125,690.7916666666666,861.4166666666666,749.25,522.5,458.5833333333333,351.0416666666667,724.6666666666666,971.2916666666666,527.875,290.375,995.5416666666666
